Name	Instructions	Difficulty	Impact	Muscle Group(s)	Easier Modification	Harder Modification	Equipment Required	Is Stretch	Link
kettlebell-straight-leg-reach	Lay down on your back. Hold the kettlebell in both hands above your head, keep your back firmly pressed down against the floor. Then with your legs straight and together, lift them up off the floor and bring them up to perpendicular with the ground. Control the motion as you lower your legs back down. Remember to only lower your legs as far as you are able to with your back firmly on the ground. As soon as you feel your back lift off the ground you have gone too far. 	Medium	Low	abs, quadriceps	An easier option for this exercise is Leg Lifts or try bending your knees and then raise and lower your legs.	N/A	Kettlebell	False	https://sworkit.com/exercise/kettlebell-straight-leg-reach
snow-angel	Start by lying on your back with your legs flat on the floor and your arms down by your sides. Keep your lower back against the floor by engaging your stomach muscles. Then hover your feet just off the floor and sweep them out to the sides, staying close to the floor. At the same time sweep your arms out from your sides in a circle, close to the floor, until they are over your head. 	Hard	Normal	abs, lower back, shoulders, glutes, quadriceps	Build up to this movement by using our Lying Hip Opener and our Six Inch and Hold exercises.	N/A	N/A	False	https://sworkit.com/exercise/snow-angel
reach-throughs	Lay down on a mat or a towel on a flat surface. Draw your legs in by bending your knees to 90 degrees. Keep a gap between your legs wide enough for your arms to reach in between them. Reach up above your shoulders with your arms. From this start position, draw your belly button down towards the floor to engage your core, then contract your stomach muscles (abs) to raise up to a sit up and reach your arms through between your legs towards your feet. Then lower back down to the floor and repeat. 	Medium	Normal	abs, shoulders	Try our Abdominal Crunches and Reach Ups first as a way to build up to this exercise.	From here move on to Sit-Ups and Supine Bicycle movements.	N/A	False	https://sworkit.com/exercise/reach-throughs
kettlebell-pass-punches	Stand with your shoulder width apart and the kettlebell in both hands. Start with the kettlebell at chest height and your core tight. Pull your shoulders back and twist from your core as you push the kettlebell straight out to the side. Keep the kettlebell at shoulder height as you pull it back towards your chest. Focus on keeping your back straight as you move your arms. 	Medium	Low	abs, biceps, upper back, lower back, chest, shoulders	To work up to this movement try our Pivoting Upper Cuts exercise. 	N/A	Kettlebell	False	https://sworkit.com/exercise/kettlebell-pass-punches
lunge-pose	Start standing up with your feet at hip width, and your hands on your hips so that you can feel that they stay level as you step forwards and back. Also, before you start make sure you have enough clear level floor space in front of you to be able to take a big step forwards. 	Easy	Normal	calves, glutes, hamstrings, quadriceps	If you find the forward lunge to difficult to start with, try giving our Rear Lunge a try. It is very similar, except that you step back into a lunge and the return your back foot to be level with your front foot at the end of each repetition, which is easier.	Once you have mastered Forward Lunges check out our Reverse V Lunges and Lunge Jumps to take it to the next level. If you have the space, you can also join your lunges together to make it a Walking Lunge.	N/A	False	https://sworkit.com/exercise/lunge-pose
balanced-kick-back-right	Start off standing up with good posture, then lift your right leg up so that your knee is at hip height and you are balancing on your left leg. Keep a slight bend in your left knee to help you balance and reduce the tension in your hamstrings. Reach your arms out in front of you at shoulder height. From this start position, bow forwards with your upper body, hinging at the hips and keeping your back straight. As you bow forwards, reach for the floor with your finger tips and kick back behind you and up with your right leg. This will help offset your bodyweight going forwards and keep you balanced. Imagine a straight line running from your right foot all the way to the crown of your head. Side on your body and legs should make a &#8216;T&#8217; shape.	Medium	Normal	glutes, hamstrings, quadriceps	If you find it hard to balance on one leg, start off using a sturdy chair or a wall for support. Also, build up to this move with our Quadraplex and Single Leg Squat exercises.	Progress from here into some of our single leg hopping exercises such as Single Leg Hops and Single Lateral Hops.	chair	False	https://sworkit.com/exercise/balanced-kick-back-right
foam-roller-quadriceps	Lay on your stomach with elbows on the ground and the roller under your upper leg. Hold you back straight as you use your arms to move the roller from your hips to just above your knees.	Easy	Low	quadriceps	N/A	N/A	N/A	False	https://sworkit.com/exercise/foam-roller-quadriceps
the-hundred	From the supine rest position raise one leg at a time so the knees are over the hips and slightly apart, the heels are connected and level with your knees. On an exhale curl the head and chest up off the mat and lift the arms in line with the hip bones, make sure you do not flatten the lower back into the floor but maintain your neutral spine and pelvis. You are now in the start position for the exercise.	Medium	Low	abs, lower back, shoulders	If you start to feel any strain in the neck you can lower the head to the mat and while you build up your abdominal strength with some of the regression options. Or if you feel any strain in your lower back you can place the feet back down into the mat  	Extending the legs away to a 45 degree angle will increase load supported by the abdominals. If you can comfortably maintain your neutral spine and pelvis you can slowly raise and lower the legs as you pulse the arms.	N/A	False	https://sworkit.com/exercise/the-hundred
single-arm-dumbbell-snatch-right	Hold a dumbbell in your right hand. Push your hips back and bend your knees and with right arm straight, lower the dumbbell to the floor. Keep your chest up, eyes looking forward. Push your hips forward, pulling your shoulders and chest up and back. Keeping the dumbbell close to your body, pull your right elbow up pulling the dumbbell up until you catch it at shoulder level. Keep your legs straight and glutes squeezed and push the dumbbell straight up above your head. Lower the dumbbell to your shoulder, then to waist level, and repeat.	Medium	Normal	abs, triceps, lower back, shoulders, glutes, hamstrings	The exercise can be performed with the weight starting and finishing at the shoulder level, which is less intensive.	This can be performed with a dumbbell in each hand.	Dumbbell	False	https://sworkit.com/exercise/single-arm-dumbbell-snatch-right
foam-roller-lats-right	Lay with the roller under your upper back on the right side and bent knees. Lift your right arm above your head and use your legs to move the roller up and down your upper back.	Easy	Low	upper back, shoulders	N/A	N/A	N/A	False	https://sworkit.com/exercise/foam-roller-lats-right
overhead-arm-pull	Stand up for this tricep stretch. Put your left arm above your head then bend it at the elbow so that your hand lowers down onto your upper back between your shoulder blades. Then place your right hand up on top of your left elbow and use your right arm to pull your elbow in behind your head to increase the stretch. Hold this stretch for the duration required then swap arms and repeat on the other side.	Easy	Low	triceps, chest	If you find it hard to get your other hand on top of the stretching arm elbow, it is likely because of tight triceps and pecs. If so you can stand next to a wall and place your elbow and upper arm against the wall to hold the stretch.	Once you can do this stretch easily and keep your chin up, you can progress it by taking your spare arm behind your back under your shoulder and try to link your fingers of your two hands together behind your back. Once you can link the fingers together, pull down with your bottom arm to increase the stretch.	N/A	False	https://sworkit.com/exercise/overhead-arm-pull
twist-left	Start in a seated position with legs extended and feet together. Draw the left knee to your chest and place the left foot outside of the right knee. Pull your belly button to your spine for core activation and lift your chest up to the ceiling. Take your right arm on the outside of the left knee and pivot your gaze backwards. Keep activating your core and lifting your chest to the ceiling as you slowly rotate deeper into the twist. Press the right arm into the left knee and push the left knee back into the right arm to twist further. To come out release the arm from the twist and re-extend the left leg.	Easy	Normal	lower back, glutes, hamstrings, quadriceps	Instead of taking the right arm outside of the left knee, use the right arm to hug around the left knee to lessen the depth of the twist.	Before taking the twist, lean to the right hand side so you can bend the right leg with the right heel coming towards the left hip. Come back to upright and make sure both hips are squarely to the floor. Then continue with the arm over the leg into the twist.	N/A	False	https://sworkit.com/exercise/twist-left
knee-and-ankle-rotations	Start standing with feet together. Bending at the hips and knees, lean forward so your hands are resting on top of your knees. Keeping your knees bent and pressed together, slowly circle your knees in a clockwise movement. Keep your feet flat on the floor and your weight evenly distributed through your feet. Reverse the movement to circle your knee counterclockwise.	Easy	Low	N/A	N/A	N/A	N/A	False	https://sworkit.com/exercise/knee-and-ankle-rotations
chair-pose-twist-right	From a standing position, pull your belly button to your spine for core activation. Press your feet down into the floor and tuck your coccyx (tailbone) slightly to your chest to feel length in your lower back. Reach your arms out wide and trace a big circle until reaching straight upwards with hands slightly apart. Bend your knees and sit backwards, going as low as you can. Check your core stays active and your spine is straight. Bring your hands together at your chest and rotate to the right putting your left elbow on the outside of the right knee. Hold the position for a few breaths. Come out by pushing into the feet and standing upwards, and then lower your arms to your side.	Medium	Normal	lower back, glutes, quadriceps	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	chair	False	https://sworkit.com/exercise/chair-pose-twist-right
dumbbell-russian-twist	Sit on the floor with knees bent in the sit-up position. Lean back at a 45 degree angle. Keep your heels in contact with the floor. Brace your core and squeeze your glutes. Rotate the dumbbell over your body from side to side, keeping it just off the floor. Keep your chin tucked in, head moving in line with the shoulders. Rotate at the waist and keep your shoulders square and straight. Avoid rounding your spine. Keep your chest up and open.	Hard	Low	abs, lower back	Perform the exercise without a weight. Touch both hands on the floor on each rotation.	Raise your feet off the floor and keep them elevated for the duration of the exercise.	Dumbbell	False	https://sworkit.com/exercise/dumbbell-russian-twist
dumbbell-forward-lunges-left	Stand with feet at hip width and a dumbbell in each hand, down by your sides. Before you start make sure you have enough clear level floor space in front of you to be able to take a big step forward.	Medium	Normal	calves, glutes, hamstrings, quadriceps	This exercise can be down as a body weight exercise without dumbbells &#8211; check out our Forwards Lunges exercise. Also try our Rear Lunges and Dumbbell Reverse Lunges.	Increase the weight of your dumbbells to make this exercise more challenging. You can also try elevating your front foot on a small step to increase the range of movement, thus making the exercise more challenging with the same weight. Check out our body weight plyometric exercise to called Lunge Jumps.	Dumbbell	False	https://sworkit.com/exercise/dumbbell-forward-lunges-left
hands-and-knees-leg-raise-pulse-right	Start on hands and knees. Your hands should be flat on the floor, at shoulder width and placed just in front of your shoulders.  Keep your neck in a neutral alignment, chin tucked and eyes looking down on the floor in front of you. Engage your core by drawing your belly button up in towards your spine, away from the floor. Raise your right leg straight out behind you. There should be a straight line down from the back of your head to your right heel. Rotate your right foot outward and pulse your leg up and down, using your glutes.	Medium	Low	upper back, glutes, hamstrings	Try the following to make it easier.	N/A	N/A	False	https://sworkit.com/exercise/hands-and-knees-leg-raise-pulse-right
dumbbell-chest-press	Lie down face up with elbows out wide, resting on the floor.  Bend your legs slightly to take tension out of your lower back. Hold a dumbbell in each hand with your fists pointing up to the ceiling. Lift your elbows off the floor and straighten your arms over your chest by contracting your chest and tricep muscles. Lower the dumbbells back down slowly until your elbows just brush the floor then repeat the movement. Try not to rest your elbows on the floor between reps. Keep the weights above you chest, not above your head. Ask someone to spot you if you don&#8217;t feel confident with this exercise.	Medium	Normal	triceps, chest, shoulders	Try this with lighter dumbbells or holding a small bottle of water in each hand. Depending on the weight of your dumbbells, you might find our Push up on Knees exercise easier, it is a very similar exercise developing the chest and triceps.	Increasing the weight of your dumbbells will make this exercise harder. If you have a bench you can lie on, it would allow for a greater range of movement, which will increase the challenge. If you don&#8217;t have heavier dumbbells, then try our Push-ups and Dumbbell Renegade Row and Push-Up exercises to progress.	Dumbbell	False	https://sworkit.com/exercise/dumbbell-chest-press
neck-rotation-stretch	For this stretch of the sides of the neck, start standing with good posture, then slowly turn your head to the left as far as you can and hold. Then rotate it back to centre and over to the right and hold. 	Easy	Low	shoulders	N/A	N/A	N/A	True	https://sworkit.com/exercise/neck-rotation-stretch
birddog-sequence	Start on your hands and knees with your knees set up below your hips and your hands set up below your shoulders. Keep you neck in a neutral alignment, chin tucked and eyes looking down on the floor in front of you. Engage your core by drawing your belly button up in towards your spine, away from the floor.	Easy	Normal	abs, shoulders	To make this easier break it down into sub-sections. Start with just moving one arm out, and bringing it back, then one leg, then the other arm, then the other leg. As you master this you can then try the full birddog sequence.	Increase the challenge of this exercise by pausing at the top position and as you get stronger, increase the amount of time that you hold it for.	N/A	False	https://sworkit.com/exercise/birddog-sequence
foam-roller-inner-hamstring-left	Sit on your right side with the left leg on the roller just above your knee. Place your hands on the ground and move your hips so the roller moves up and down the inner backside of your leg.	Easy	Low	hamstrings	N/A	N/A	N/A	False	https://sworkit.com/exercise/foam-roller-inner-hamstring-left
dumbbell-donkey-kick-left	Start on your hands and knees and position the dumbbell in the crease at the back of your left knee.  Tighten your glutes and lift your left leg out behind you. Keep a 90 degree angle at the knee to hold the dumbbell in place. Aim to lift your leg so that your knee is at hip height off the ground and the sole of your foot points to the ceiling. Avoid arching your lower back. 	Medium	Normal	lower back, glutes, hamstrings	This is a great exercise to do with out a dumbbell too, which will make it easier. Also check out our Fire Hydrant.	Make this exercise harder by increasing the weight of the dumbbell or slowing the movement down, especially the lowering phase of the exercise. Also check out our Kettlebell Single Deadlift exercise for another great glute and hamstring exercise.	Dumbbell	False	https://sworkit.com/exercise/dumbbell-donkey-kick-left
switch-kick	Start off by sitting down on the floor leaning on your arms and with your feet drawn in towards your hips. Make sure your hands are on the floor underneath your shoulders with your fingers pointing down to your feet. Then, push into your hands and feet, engage your core and glutes to lift your hips off the floor to make a flat table top like surface with your chest and thighs. This is the start position of the movement.	Medium	Normal	triceps, upper back, lower back, calves, glutes, hamstrings	Try our shoulder bridge exercise to build up strength to help with this one.	Once you have mastered this with both hands on the floor, amp it up by reaching up with your opposite arm to the leg that is lifted to try and touch your hand to your toes on every rep. Also try combining this with our Swipers exercise.	N/A	False	https://sworkit.com/exercise/switch-kick
two-point-plank	Start at the top of the push up position with your hands on the floor, arms straight and underneath your shoulders. Step your feet back behind you and lift your knees. Engage your glutes, tense your legs and brace your core to keep your body rigid. 	Hard	Normal	abs, triceps, upper back, lower back, chest, shoulders, hamstrings, quadriceps	For a related but easier version of this exercise try our Quadraplex and Althernating Push-up Plank movements to build up the necessary strength for this challenging move.	When you can do this well with control for the required duration, check out our Swipers exercise.	N/A	False	https://sworkit.com/exercise/two-point-plank
heel-to-shin	In a seated position bring one heel slowly to the shin of the opposite leg. Keep your back against the chair and your breathing normal. This exercise is a gentle way to stretch the hip flexors. 	Easy	Low	calves, quadriceps	N/A	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	chair	False	https://sworkit.com/exercise/heel-to-shin
neck-extension-backward	For this stretch of the front of the neck, start standing with good posture, then slowly lift your chin up and lower your head backwards with control. You should feel a stretch under the chin and down the front and sides of the neck. If you experience any pain in the neck or dizziness during this stretch stop straight away and consult your healthcare professional.	Easy	Low	shoulders	N/A	N/A	N/A	False	https://sworkit.com/exercise/neck-extension-backward
overhead-press	Standing upright with your feet at hip width, and legs straight, engage your glutes and brace your core whilst drawing your ribs in. Then make fists with your hands and take them up above your shoulders, with your elbows out to the sides and at shoulder height. 	Easy	Low	triceps, shoulders	If you feel unstable during this exercise, try it sitting upright on a chair or bench without leaning back against a back support.	If you have two small objects that weigh the same amount (e.g. dumbbells or food tins), you can hold one in each hand for extra resistance.	chair	False	https://sworkit.com/exercise/overhead-press
lying-hip-opener	Start by lying down on your back for this great core and stretch exercise. Reach your feet out on the floor and your arms on the floor over your head. Then engage your core to actively press your lower back down into the floor so there is no gap between it and the floor.	Medium	Normal	abs, upper back, lower back, hamstrings	If you find this too intense, you can perform the movement with a 90 degree bend at the knee of both legs. For other stretches for the hips try our Hip Opener, Kneeling Hip Flexor and Pigeon Pose.	N/A	N/A	False	https://sworkit.com/exercise/lying-hip-opener
jump-rope-high-knees	Start in a standing position with your feet at hip-width. Hold your arms out away from your sides as if you were holding a jump rope. Lift up on to your toes and hop up and down on both feet, pulling your knees up high. Keep your heels off the ground for the duration of the exercise.	Hard	High	glutes, hamstrings, quadriceps	Try the following to make it easier.	N/A	N/A	False	https://sworkit.com/exercise/jump-rope-high-knees
mountain-climbers	Start off with your hands on the floor, your arms straight and your legs straight out behind you, feet on the floor, like you just finished a push up. Then step one foot in underneath your chest and rest it there on the floor. This is your start position. 	Medium	Normal	abs, glutes, hamstrings, quadriceps	Amp your Mountain Climbers up by not resting your front foot down on the floor when you bring it in under your chest. Instead aim to tap the back of your elbow with your knee which the foot hovers off the floor. Our Spiderman Push-up is a great next step up too.	Amp your Mountain Climbers up by not resting your front foot down on the floor when you bring it in under your chest. Instead aim to tap the back of your elbow with your knee which the foot hovers off the floor. Our Spiderman Push-up is a great next step up too.	N/A	False	https://sworkit.com/exercise/mountain-climbers
hip-flexor-stretch	From a standing position, take a big step back with one foot and lower the knee down to the floor. Relax your back foot, keep your spine upright and chest up, as you push your hips forwards and reach up overhead with the same side arm as the back leg. After holding the stretch on one side, stand up and repeat it on the other side.	Easy	Low	quadriceps	If you find it hard to lower your leg down onto the floor, you could place your knee onto a bench, step or chair behind you. 	To progress this stretch to include more quadriceps at the same time, lift the heal of your back leg and reach back with your opposite hand to catch the back of your foot and pull it in towards your hips.	chair	True	https://sworkit.com/exercise/hip-flexor-stretch
eagle-pose-left	From a standing position sweep your right arm under your left aiming to hook under the elbows and bring the hands towards each other. Standing on your left leg, lift your right leg up and over crossing at your thighs with the right foot hugging the left calf. Take your hips backwards to sit into a squat. Aim to move your left knee backwards and lift the chest to the sky. Keep your core active throughout and hold for a 5 breaths. Come out by standing up and uncrossing your arms and legs. 	Medium	Normal	upper back, lower back, shoulders, calves, glutes, quadriceps	To make it easier, tap the left toes to the floor outside the right foot to help with your balance.	N/A	N/A	False	https://sworkit.com/exercise/eagle-pose-left
foam-roller-calf-muscles	Start seated with the roller under your legs below your knees. Place your hands behind you and move your hips back and forth to move the roller over your calves.	Easy	Low	calves	N/A	N/A	N/A	False	https://sworkit.com/exercise/foam-roller-calf-muscles
resistance-loop-donkey-kick-left	Start on hands and knees with the band just above your knees. Draw your belly button in to activate your core. Push your left leg straight back. Try not to sway your hips side-to-side.	Medium	Low	glutes, hamstrings	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	Resistance Loop	False	https://sworkit.com/exercise/resistance-loop-donkey-kick-left
resistance-band-around-the-world	Stand on your band with your left foot and hold the handles by your sides. Then with straight arms, lift the handles out and up sideways in a big circle above your head. Lower them down in the same direction for your next rep.	Medium	Low	triceps, biceps, upper back, shoulders	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	Resistance Band	False	https://sworkit.com/exercise/resistance-band-around-the-world
head-to-knee-right	Start in a seated position with legs extended and feet together. Draw the left knee to your chest, rotate the leg at the hip to lay the knee to the floor and place the sole of the left foot as high on the right thigh as you can get it. Pull your belly button to your spine for core activation and lift your chest up to the ceiling. Pivot at the hips to fold forward reaching wherever is comfortable (left knee / left shin / left foot) with both hands. Lightly grip with the hands and gently pull yourself deeper into the forward fold. Aim to get length as well as depth by encouraging your chest to come to your left knee rather than your nose to knee. To come out, brace the belly and lift with a straight spine.	Medium	Normal	lower back, glutes, hamstrings, quadriceps	Bend the right knee so it is pointing up to the ceiling to make it easier, especially if you have tight hamstrings.	N/A	N/A	False	https://sworkit.com/exercise/head-to-knee-right
t-raise	Start lying down on your front, the lift your chest up off the floor by arching your back. At the same time activate your legs by pushing your toes into the floor and tensing your glutes. 	Easy	Low	upper back, shoulders	Try our exercise called Laying Back extension for a similar yet slightly easier option.	N/A	N/A	False	https://sworkit.com/exercise/t-raise
kettlebell-chest-press-right	Lay on your back with the kettlebell in your right hand. Begin with your elbow at shoulder height and the kettlebell at your shoulder. Press the weight straight up in the air and control the kettlebell back down to your shoulder. Keep your core tight and both your hips firmly planted on the floor. 	Easy	Low	biceps, upper back, chest, shoulders	To work up to this exercise try Push Ups on Knees.	N/A	Kettlebell	False	https://sworkit.com/exercise/kettlebell-chest-press-right
plank-pose	Start off on your hands and knees. Activate your core by pulling the belly button to the spine. Tuck your toes and lift your knees off the floor. Make a straight line with your body from your shoulders through your hips to your heels. Press the back of your shoulders blades up to the ceiling, doming slightly the upper back. Tuck your coccyx (tailbone) slightly toward the chest. Gaze slightly in front.	Medium	Normal	abs, triceps, shoulders	To modify, keep the knees on the floor but move them backwards so the thighs are on a diagonal rather than the vertical position of being in hands and knees. Activate the core.	Once in Plank Pose, keeping your body completely still, lift one leg 2 inches off the floor. Slowly replace it to the floor and repeat on the other side. Do several repetitions on each side. 	N/A	False	https://sworkit.com/exercise/plank-pose
spiderman-push-up	Set up as you would for a regular push up, so start at the top of the push up position with your hands on the floor, arms straight and underneath your shoulders. Step your feet back behind you and lift your knees. Engage your glutes, tense your legs and brace your core to keep your body rigid. 	Hard	Normal	abs, triceps, upper back, lower back, chest, shoulders, glutes, hamstrings	Try our regular Push-ups exercise to get stronger before taking on Spiderman Push-ups. Also try using our Mountain Climbers exercise to build up leg and core strength as a stepping stone towards Spiderman Push-Ups.	Once you have mastered Spiderman Push-Ups, the next step up is our explosive Push-Up and Clap exercise.	N/A	False	https://sworkit.com/exercise/spiderman-push-up
donkey-kick-left	Begin on the floor, in an all fours position with your knees set underneath your hips and your hands at shoulder width. Maintain a neutral back and engage your core throughout. Then, keeping a 90 degree bend in your left knee, pick it up just off the floor and lift it out behind you. The aim is to get your knee to the same height as your hips and back and your left foot set up above left right knee. Don&#8217;t over-arch your lower back to do this, keep you back in a safe neutral position.	Medium	Normal	lower back, glutes, hamstrings	Build up your hip strength with our Clam Shell, Fire Hydrant and Glute Bridge exercises first	Increase the complexity of this exercise by reaching the opposite arm out at the same time as kicking the leg out. Check out our Quadraplex exercise as an example.	N/A	False	https://sworkit.com/exercise/donkey-kick-left
balanced-kick-back-left	Start off standing up with good posture, then lift your left leg up so that your knee is at hip height and you are balancing on your right leg. Keep a slight bend in your right knee to help you balance and reduce the tension in your hamstrings. Reach your arms out in front of you at shoulder height. From this start position, bow forwards with your upper body, hinging at the hips and keeping your back straight. As you bow forwards, reach for the floor with your finger tips and kick back behind you and up with your left leg. This will help offset your bodyweight going forwards and keep you balanced. Imagine a straight line running from your right foot all the way to the crown of your head. Side on your body and legs should make a &#8216;T&#8217; shape.	Medium	Normal	lower back, glutes, hamstrings, quadriceps	If you find it hard to balance on one leg, start off using a sturdy chair or a wall for support. Also, build up to this move with our Quadraplex and Single Leg Squat exercises.	Progress from here into some of our single leg hopping exercises such as Single Leg Hops and Single Lateral Hops.	chair	False	https://sworkit.com/exercise/balanced-kick-back-left
single-leg-hamstring	Start by lying down on your back with your legs straight on the floor. Then, contract your upper abs to lift your head and shoulders up off the floor. Then lift your right leg straight up towards the ceiling. Take hold of your right calf with your hands and use your arms to pull your leg in towards you, keeping it as straight as possible. Make sure your other leg stays flat on the floor.	Easy	Normal	glutes, hamstrings	Try our Seated Hamstring Stretch as a less challenging way to start off lengthening your hamstrings.	N/A	N/A	False	https://sworkit.com/exercise/single-leg-hamstring
straddle	In a seated position spread your feet so that they are more than shoulder width apart. Place your hands on the insides of your knees and gently press them to the sides as you slowly bring your torso forward. Keep your breathing normal and hold this stretch for the inside of your legs and your groins.	Easy	Low	lower back, chest, glutes	This exercise can be done standing in a &#8220;Horse&#8221; stance, or seated on the floor with legs stretched out flat.	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	False	https://sworkit.com/exercise/straddle
camel-pose	Start in a kneeling position with your knees at hip width distance and your shins parallel. Rise up to a high kneeling position so your hips are above your knees and bring your hands onto your hips. Press your knees downwards into the floor activating the legs, lengthen your coccyx (tailbone) towards your heels to lengthen your lower back and pull your belly button to spine to activate your core. Keeping everything active, lift the crown of your head up to the ceiling and then start to backbend. Either keep your hands on your hips or transfer them to your heels if you can easily reach without feeling any pressure on the lower back. Hold in the pose for a few breaths, lifting your chest to the sky. Then when ready, use your belly to lift back up and sit back to kneeling.	Hard	Normal	abs, upper back, quadriceps	Keep your hands on your hips to support you for the whole duration to make it easier.	N/A	N/A	False	https://sworkit.com/exercise/camel-pose
fire-hydrant-right	Start on the floor on all fours, looking down. Make sure your hands are positioned underneath your shoulders and your knees are under your hips. Keep a neutral spine and engage your core by lifting your belly button up away from the floor. From this start position, lift your right leg off the floor and out to the side, keeping a 90 degree angle at the knee. Lift your knee as high as you can, with the aim being to get it to the same height as your hips. Also, your goal is to do all of this without any other movement through your body, so keep your shoulders and hips square and don&#8217;t twist through your spine.	Easy	Normal	abs, lower back, glutes, hamstrings, quadriceps	Build up strength in your hips with our Quadraplex and Clam Shells exercises.	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	False	https://sworkit.com/exercise/fire-hydrant-right
foam-roller-hip-flexor-and-psoas-stretch-right	Start with the roller at your lower back. Roll back onto it while you lift your right knee to your chest. Hold.	Easy	Low	lower back, glutes, hamstrings, hip flexor	N/A	N/A	N/A	True	https://sworkit.com/exercise/foam-roller-hip-flexor-and-psoas-stretch-right
kettlebell-stack-the-shelf-left	Stand with your feet shoulder width apart and the kettlebell in your left hand. Start with the kettlebell at your shoulder and your elbow forward. Tighten your core and push the kettlebell straight up and keeping your elbow in line with your wrist. Control the motion on the way back down. 	Medium	Low	biceps, chest, shoulders	This motion can be done while sitting to modify for any lower body injuries or lower back pain. You can also try this exercise with no weight with our Overhead Press exercise. 	To progress to the next level try our Kettlebell Clean &#038; Press exercise. 	Kettlebell	False	https://sworkit.com/exercise/kettlebell-stack-the-shelf-left
bent-knee-side-plank-hold-left	Lay down on your left side and rest your upper body on your left elbow, making sure the elbow is in the same vertical line as your shoulder. Place your right hand on your right hip to help as a cue to keep your hips stacked.	Hard	Normal	abs, shoulders, hip flexor	Customize your workouts simply by adding or removing Sworkit exercises. Sign in or sign up to get started.	N/A	N/A	False	https://sworkit.com/exercise/bent-knee-side-plank-hold-left
side-leg-lifts	Start by laying down on the floor on your side but prop your upper body up by resting on your bottom elbow. Keep that elbow in line with your shoulder. Rest your top arm up out of the way by placing your hand on the side of your head. Then, keeping your legs straight and together, use your obliques, abs and leg muscles to lift your legs up and down. Changes sides half way through the duration of the exercise. 	Medium	Low	abs, lower back	If you find this too hard, start off with our Side Leg Raise exercise to build up strength in your abs, obliques and abductors first.	Once you&#8217;ve got the hang of this, have a go at our Side Bridge exercise.	N/A	False	https://sworkit.com/exercise/side-leg-lifts
half-spinal-twist	Start in a seated position. Keep your left leg extended and bend the right knee to bring the right foot outside the left knee. Activate your core by pulling belly button to spine. Lift the crown of your head up to the ceiling. Reach your left arm outside of the right knee with the knee pushing into the upper arm. Lift the crown of your head up to the ceiling and twist to the right to look behind you.	Easy	Low	lower back, glutes	To make this exercise easier, sit on a yoga block or a thick heavy book to elevate your hips 3-5 inches off the floor.	Once in the pose on the first side, wrap the left arm under the right knee reaching the back of the left hand towards the spine. Reach the right arm behind you to clasp the right and the left hand together. This is very challenging for the shoulders.	N/A	False	https://sworkit.com/exercise/half-spinal-twist
high-jumper	Start in a standing position with your feet at shoulder width. Then lower down into a 3/4 squat position with your arms at your sides. Pause here for a second and get ready to explosively jump and throw your arms up overhead. Jump up and reach as high as you can.	Hard	High	calves, glutes, quadriceps	You can reduce the impact and intensity of this exercise, whilst working similar muscles using our Squats exercise	Increase the challenge of this exercise by adding in a directional jump or a rotational jump. 	N/A	False	https://sworkit.com/exercise/high-jumper
kettlebell-halo	Begin standing with the kettlebell in both hands. Hold the kettlebell by the handle at chest height. Keep the kettlebell close to your body and elbows tucked in, chest high, and your core and glutes (butt) tight. Lift your right elbow to bring the kettlebell beside your head and drop it to the back. Bring the right elbow back down as you move the kettlebell back to the front of your body. Complete the same motion moving the left elbow. Remember to not sway your upper body while moving the kettlebell. 	Medium	Low	abs, triceps, upper back, shoulders	For an easier option try our Kettlebell Overhead Tricep Extensions	N/A	Kettlebell	False	https://sworkit.com/exercise/kettlebell-halo
foam-roller-adductors-left	Sit on your right side with the left leg on the roller just above your knee. Place your hands on the ground and move your hips so the roller moves up and down your inner leg.	Easy	Low	hamstrings, quadriceps	N/A	N/A	N/A	False	https://sworkit.com/exercise/foam-roller-adductors-left
dumbbell-woodchopper-left	Stand with feet slightly wider than shoulder-width, toes pointing slightly out. Hold one dumbbell in both hands with straight arms. Pivot on your toes, bend at the waist and twist down to your left until the dumbbell is just outside of your left shin. Stand up, rotating your arms diagonally forward and up, pivoting to your right, until the dumbbell is held high above and outside of your right shoulder Your chest should be up and open throughout. Eyes should follow the dumbbell.	Medium	Normal	abs, upper back, shoulders, quadriceps	Perform the exercise without a dumbbell.	N/A	Dumbbell	False	https://sworkit.com/exercise/dumbbell-woodchopper-left
pivoting-upper-cuts	Start off in a standing position with your feet set at shoulder width. Bring bent arms up in front of your chest and make fists with your hands. Bend your hips and knees to lower down half way into a squat. At the same time, lower your right fist down towards your right hip. Then as you stand back up by straightening your hips and knees, punch up and across with your right fist so that it finishes above your left shoulder. Keep your left fist up in front of your face and chest in a guard position.	Easy	Normal	abs, biceps, upper back, shoulders, calves, glutes, quadriceps	If you enjoy shadow boxing, but want something less intense try our Boxer and Squat Jabs exercises	For a more intense, boxing related exercise try our Jump Rope Hops exercise.	N/A	False	https://sworkit.com/exercise/pivoting-upper-cuts
